function;geography;years;source
`read_country`;Country;1872, 1900, 1911, 1920, 1933, 1940, 1950, 1960, 1970, 1980, 1991, 2000, 2001, 2010, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020;IBGE
`read_region`;Region;2000, 2001, 2010, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020;IBGE
`read_state`;States;1872, 1900, 1911, 1920, 1933, 1940, 1950, 1960, 1970, 1980, 1991, 2000, 2001, 2010, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020;IBGE
`read_meso_region`;Meso region;2000, 2001, 2010, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020;IBGE
`read_micro_region`;Micro region;2000, 2001, 2010, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020;IBGE
`read_intermediate_region`;Intermediate region;2017, 2019, 2020;IBGE
`read_immediate_region`;Immediate region;2017, 2019, 2020;IBGE
`read_municipality`;Municipality;1872, 1900, 1911, 1920, 1933, 1940, 1950, 1960, 1970, 1980, 1991, 2000, 2001, 2005, 2007, 2010, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020;IBGE
`read_municipal_seat`;Municipality seats (sedes municipais);1872, 1900, 1911, 1920, 1933, 1940, 1950, 1960, 1970, 1980, 1991, 2010;IBGE
`read_weighting_area`;Census weighting area (área de ponderação);2010;IBGE
`read_census_tract`;Census tract (setor censitário);2000, 2010, 2017, 2019, 2020;IBGE
`read_statistical_grid`;Statistical Grid of 200 x 200 meters;2010;IBGE
`read_metro_area`;Metropolitan areas;1970, 2001, 2002, 2003, 2005, 2010, 2013, 2014, 2015, 2016, 2017, 2018;IBGE
`read_urban_area`;Urban footprints;2005, 2015;IBGE
`read_amazon`;Brazil's Legal Amazon;2012;MMA
`read_biomes`;Biomes;2004, 2019;IBGE
`read_conservation_units`;Environmental Conservation Units;201909;MMA
`read_disaster_risk_area`;Disaster risk areas;2010;CEMADEN and IBGE
`read_indigenous_land`;Indigenous lands;201907, 202103;FUNAI
`read_semiarid`;Semi Arid region;2005, 2017;IBGE
`read_health_facilities`;Health facilities;2015;CNES, DataSUS
`read_health_region`;Health regions and macro regions;1991, 1994, 1997, 2001, 2005, 2013;DataSUS
`read_neighborhood`;Neighborhood limits;2010;IBGE
`read_schools`;Schools;2020;INEP
`read_comparable_areas`;Historically comparable municipalities, aka Areas minimas comparaveis (AMCs);1872,1900,1911,1920,1933,1940,1950,1960,1970,1980,1991,2000,2010;IBGE
`read_urban_concentrations`;Urban concentration areas (concentrações urbanas);2015;IBGE
`read_pop_arrangements`;Population arrangements (arranjos populacioanis);2015;IBGE
